"Label (Grouping)","Delaware!!Total!!Estimate","Delaware!!Below poverty level!!Estimate","Delaware!!Percent below poverty level!!Estimate","Maine!!Total!!Estimate","Maine!!Below poverty level!!Estimate","Maine!!Percent below poverty level!!Estimate","Maryland!!Total!!Estimate","Maryland!!Below poverty level!!Estimate","Maryland!!Percent below poverty level!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Below poverty level!!Estimate","Massachusetts!!Percent below poverty level!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Below poverty level!!Estimate","New Hampshire!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate","New York!!Total!!Estimate","New York!!Below poverty level!!Estimate","New York!!Percent below poverty level!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Below poverty level!!Estimate","Pennsylvania!!Percent below poverty level!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Below poverty level!!Estimate","Rhode Island!!Percent below poverty level!!Estimate","Vermont!!Total!!Estimate","Vermont!!Below poverty level!!Estimate","Vermont!!Percent below poverty level!!Estimate","Virginia!!Total!!Estimate","Virginia!!Below poverty level!!Estimate","Virginia!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","941,266","107,641","11.4%","1,304,038","144,384","11.1%","5,894,835","531,553","9.0%","6,637,329","653,454","9.8%","1,312,770","97,418","7.4%","8,713,792","842,704","9.7%","19,009,098","2,581,048","13.6%","12,387,061","1,480,430","12.0%","1,017,028","117,785","11.6%","599,938","64,700","10.8%","8,255,575","826,708","10.0%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","199,880","34,390","17.2%","243,504","34,067","14.0%","1,319,572","153,356","11.6%","1,340,628","164,081","12.2%","252,401","22,509","8.9%","1,930,346","257,552","13.3%","3,994,613","746,203","18.7%","2,600,657","434,413","16.7%","202,159","31,629","15.6%","113,470","13,975","12.3%","1,838,531","241,637","13.1%"
"            Under 5 years","53,300","10,809","20.3%","62,130","9,587","15.4%","357,035","44,311","12.4%","351,401","47,069","13.4%","62,304","6,064","9.7%","511,640","73,622","14.4%","1,118,135","220,204","19.7%","689,914","125,872","18.2%","53,660","9,055","16.9%","28,480","3,737","13.1%","499,616","69,589","13.9%"
"            5 to 17 years","146,580","23,581","16.1%","181,374","24,480","13.5%","962,537","109,045","11.3%","989,227","117,012","11.8%","190,097","16,445","8.7%","1,418,706","183,930","13.0%","2,876,478","525,999","18.3%","1,910,743","308,541","16.1%","148,499","22,574","15.2%","84,990","10,238","12.0%","1,338,915","172,048","12.8%"
"            Related children of householder under 18 years","198,918","33,468","16.8%","241,764","32,382","13.4%","1,314,681","148,796","11.3%","1,335,276","159,073","11.9%","250,825","21,142","8.4%","1,924,526","252,263","13.1%","3,976,766","729,637","18.3%","2,590,247","424,592","16.4%","201,217","30,732","15.3%","112,685","13,212","11.7%","1,830,181","234,182","12.8%"
"        18 to 64 years","563,339","61,671","10.9%","791,826","87,428","11.0%","3,667,846","306,634","8.4%","4,195,914","391,040","9.3%","823,441","60,487","7.3%","5,378,854","466,647","8.7%","11,888,166","1,475,003","12.4%","7,530,512","860,604","11.4%","639,173","69,731","10.9%","368,883","41,652","11.3%","5,129,815","488,619","9.5%"
"            18 to 34 years","197,963","27,070","13.7%","249,771","37,004","14.8%","1,285,368","138,089","10.7%","1,518,927","183,304","12.1%","269,809","27,971","10.4%","1,827,703","194,227","10.6%","4,391,779","652,790","14.9%","2,632,842","398,299","15.1%","230,414","32,374","14.1%","122,990","19,891","16.2%","1,834,823","237,885","13.0%"
"            35 to 64 years","365,376","34,601","9.5%","542,055","50,424","9.3%","2,382,478","168,545","7.1%","2,676,987","207,736","7.8%","553,632","32,516","5.9%","3,551,151","272,420","7.7%","7,496,387","822,213","11.0%","4,897,670","462,305","9.4%","408,759","37,357","9.1%","245,893","21,761","8.8%","3,294,992","250,734","7.6%"
"        60 years and over","244,072","18,857","7.7%","372,291","32,588","8.8%","1,288,697","102,019","7.9%","1,541,989","136,923","8.9%","336,437","21,227","6.3%","1,971,472","163,607","8.3%","4,356,848","500,922","11.5%","3,133,412","269,504","8.6%","247,911","23,159","9.3%","165,757","13,366","8.1%","1,807,230","138,700","7.7%"
"        65 years and over","178,047","11,580","6.5%","268,708","22,889","8.5%","907,417","71,563","7.9%","1,100,787","98,333","8.9%","236,928","14,422","6.1%","1,404,592","118,505","8.4%","3,126,319","359,842","11.5%","2,255,892","185,413","8.2%","175,696","16,425","9.3%","117,585","9,073","7.7%","1,287,229","96,452","7.5%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","453,371","45,776","10.1%","637,429","64,177","10.1%","2,840,551","229,901","8.1%","3,221,477","283,099","8.8%","650,855","42,476","6.5%","4,241,929","367,044","8.7%","9,198,504","1,131,023","12.3%","6,043,302","653,231","10.8%","495,847","52,293","10.5%","295,989","28,999","9.8%","4,027,815","360,440","8.9%"
"        Female","487,895","61,865","12.7%","666,609","80,207","12.0%","3,054,284","301,652","9.9%","3,415,852","370,355","10.8%","661,915","54,942","8.3%","4,471,863","475,660","10.6%","9,810,594","1,450,025","14.8%","6,343,759","827,199","13.0%","521,181","65,492","12.6%","303,949","35,701","11.7%","4,227,760","466,268","11.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","637,476","56,220","8.8%","1,224,631","127,585","10.4%","3,206,937","208,103","6.5%","5,091,390","400,134","7.9%","1,210,344","85,520","7.1%","5,723,048","434,362","7.6%","11,863,388","1,199,897","10.1%","9,869,253","916,064","9.3%","804,754","75,679","9.4%","562,859","58,214","10.3%","5,493,918","444,315","8.1%"
"        Black or African American alone","203,154","35,806","17.6%","17,014","5,297","31.1%","1,745,206","226,073","13.0%","491,182","86,362","17.6%","18,880","3,501","18.5%","1,143,711","187,618","16.4%","2,888,711","588,597","20.4%","1,338,472","332,886","24.9%","65,392","13,386","20.5%","7,130","1,729","24.2%","1,546,295","260,033","16.8%"
